,MetricId,MetricName,Entity,MaxDays,Type,Url,Filter,MetricUnits,MetricDescription
0,DemaReal,Demanda Real por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público)
1,DemaReal,Demanda Real por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Demanda de usuarios regulados y no regulados que hacen parte del Sistema Interconectado Nacional (no incluye Alumbrado Público)
2,ExpoMoneda,Exportaciones Moneda por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Transferencias de Energia desde Colombia hacia otros paises
3,DemaCome,Demanda Comercial por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
4,Gene,Generación por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Generacion neta de cada una de las plantas Nacionales en sus puntos de frontera.
5,GeneIdea,Generación Ideal por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Despacho de generacion que resulta de considerar una red de transporte inexistente
6,PrecBolsNaci,Precio Bolsa Nacional por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,"Precio de oferta de la última planta flexible para atender la demanda comercial nacional, más delta de incremento para remunerar los costos no cubiertos de las plantas térmicas en el despacho ideal."
7,RestAliv,Restricciones Aliviadas por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,"“Es el valor a cargo de los comercializadores por concepto de restricciones después de aplicar los alivios definidos en la regulación vigente”, la regla de negocio de esta métrica sería la Resolución "
8,ConsCombustibleMBTU,Consumo Combustible MBTU por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,MBTU,Los generadores térmicos deben reportar diariamente según resolución CREG 084 de 2005 el consumo de combustible en MBTU
9,Gene,Generación por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Generacion neta de cada una de las plantas Nacionales en sus puntos de frontera.
10,IndRecMargina,Indicador Recurso Margina por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,#,"Si Precio de Oferta Declarado = Máximo Precio de Oferta Nacional (para el recurso que esto se cumpla, es el recurso que margina)"
11,DemaCome,Demanda Comercial por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
12,PrecOferDesp,Precio de Oferta de Despacho por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP/kWh,Es el precio de la energia de un recurso de generación despachados centralmente enviados por los agentes para el Despacho. Incluye el CEE
13,MaxPrecOferNal,Máximo Precio de Oferta Nacional por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,Máximo precio de oferta nacional
14,CompBolsNaciEner,Compras Bolsa Nacional Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada en la Bolsa de Energía para atender la demanda nacional
15,CompBolsNaciEner,Compras Bolsa Nacional Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada en la Bolsa de Energía para atender la demanda nacional
16,CompContEner,Compras en Contrato Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada mediante Contratos de largo plazo
17,CompContEner,Compras en Contrato Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada mediante Contratos de largo plazo
18,VentContEner,Ventas en Contrato Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energia vendida mediante Contratos de largo plazo
19,VentContEner,Ventas en Contrato Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energia vendida mediante Contratos de largo plazo
20,GeneIdea,Generación Ideal por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Despacho de generacion que resulta de considerar una red de transporte inexistente
21,ConsCombAprox,Consumo Combustible Aproximado para el Factor de Emisión por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,MBTU,La métrica se construye con el objetivo de determinar un valor aproximado para el consumo de combustible para los generadores térmicos que no deben reportar diariamente según resolución CREG 084 de 20
22,EmisionesCO2,Emisiones de CO2 por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,TonCO2,Emisiones totales de Dióxido de Carbono – CO2 de las plantas de generación registradas ante el CND. Incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas po
23,EmisionesCH4,Emisiones de CH4 por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,TonCH4,"Emisiones totales de Dióxido de Carbono –CH4 de las plantas de generación registradas ante el CND, incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas por"
24,EmisionesN2O,Emisiones de N2O por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,TonN2O,"Emisiones totales de Dióxido de Carbono – N2O de las plantas de generación registradas ante el CND, incluye tanto las obtenidas con base en el reporte de consumo de combustible como las aproximadas po"
25,EmisionesCO2Eq,Emisiones de CO2 Eq por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,gCO2e/kWh,Emisiones totales de Dióxido de Carbono. Para convertir las emisiones de CH4 y N2O se tomaron las sigueintes equivalencias 1 tonCH4= 21 tonCO2e y 1 tonN2O= 310 tonCO2e
26,factorEmisionCO2e,Emisiones de CO2 Eq/kWh por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,gCO2e/kWh,Factor de emision de CO2 equivalente. Corresponde al Margen de Operación Simple (OM) el cual se obtiene como el cociente entre la generación real Sistema y las emisiones de CO2. Para convertir las emi
27,ImpoEner,Importaciones Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Transferencias de Energia desde otros paises para abastecer la demanda nacional
28,ImpoEner,Importaciones Energía,Enlace,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Transferencias de Energia desde otros paises para abastecer la demanda nacional
29,ImpoMoneda,Importaciones Moneda,Enlace,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Transferencias de Energia desde otros paises para abastecer la demanda nacional
30,ExpoEner,Exportaciones Energía,Enlace,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Transferencias de Energia desde Colombia hacia otros paises
31,ExpoMoneda,Exportaciones Moneda,Enlace,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Transferencias de Energia desde Colombia hacia otros paises
32,DemaOR,Demanda por OR por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Distribuidor,kWh,"Demanda real del OR sin referir al STN, excluyendo la demanda de los usuarios conectados directamente al STN. Es decir que no se consideran las perdidas existentes en el STN."
33,PerdidasEner,Perdidas de Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,"Cantidad de las inyecciones de energia al Sistema de Transmision Nacional (flujos de baja a alta tension), menos la cantidad de los flujos que salieron del Sistema (flujos de alta a baja tension)."
34,GeneSeguridad,Generación de Seguridad por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,"Generación que se requiere para garantizar condiciones de seguridad y confiabilidad, en la operación del Sistema Interconectado Nacional (SIN). Esta generación es programada por el CND en el Despacho "
35,GeneFueraMerito,Generación Fuera de Mérito por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,"Generación forzada requerida para suplir las Restricciones del SIN, cuyo precio de oferta es superior al precio de bolsa."
36,ExpoEner,Exportaciones Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Transferencias de Energia desde Colombia hacia otros paises
37,GeneProgDesp,Generación Programada por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,"Despacho de generacion esperado de las centrales, que resulta de considerar la red de transporte real"
38,GeneProgRedesp,Generación Programada Redespacho por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Generación programada del redespacho
39,DispoReal,Disponibilidad Real por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kW,"Disponibilidad promedio calculada a partir de la fecha de los eventos que modifican la disponibilidad de las unidades de generacion de los generadores, asi como de la disponibilidad reportada al Centr"
40,DispoCome,Disponibilidad Comercial por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kW,"Considera la declaración de disponibilidad de los generadores, modificada cuando se presentan cambios en las unidades de generación en operación real del Sistema"
41,DispoDeclarada,Disponibilidad Declarada por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,"Máxima cantidad de potencia neta que un generador puede suministrar al sistema durante el intervalo de tiempo determinado para el despacho económico o el redespacho, reportada diariamente en la oferta"
42,RecoPosEner,Reconciliación Positiva Energía por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Es el valor de la compensacion positiva que se debe aplicar a los generadores para cada uno de sus recursos ofertados debido a las diferencias entre el despacho ideal y la generacion real. Este concep
43,RecoNegEner,Reconciliación Negativa Energía por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Costos asociados con generaciones desplazadas en el despacho real por Generaciones de Seguridad Fuera de Merito o por Redespachos (diferencia entre el despacho ideal y el real).Este concepto aplica de
44,RespComerAGC,Responsabilidad Comercial AGC por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Responsabilidad Comercial de cada agente generador frente al Servicio de Regulación Secundara de Frecuencia
45,DesvEner,Desviaciones Energía por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
46,DesvMoneda,Desviaciones Moneda por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP,Es la cantidad de energía que se desvía una Central cuando incumple el programa de generación
47,RecoPosMoneda,Reconciliación Positiva Moneda por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP,Es el valor de la compensacion positiva que se debe aplicar a los generadores para cada uno de sus recursos ofertados debido a las diferencias entre el despacho ideal y la generacion real. Este concep
48,RecoNegMoneda,Reconciliación Negativa Moneda por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP,Costos asociados con generaciones desplazadas en el despacho real por Generaciones de Seguridad Fuera de Merito o por Redespachos (diferencia entre el despacho ideal y el real).Este concepto aplica de
49,ExcedenteAGPE,Compras Excedentes AGPE por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Compras Excedentes AGPE: Esta consulta está asociada con la energía que reportan los comercializadores integrados con los Operadores de Red como compras de excedentes a Autogeneradores a Pequeña Escal
50,DemaComeReg,Demanda Comercial Mercado Regulado por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
51,DemaComeNoReg,Demanda Comercial Mercado No Regulado por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Comercializador,kWh,Considera la demanda propia de cada comercializador mas la paticipacion en la perdidas del STN y los consumos propios de los generadores.
